iter	Passed	Remaining
597	2172	1460
598	2176	1457
599	2180	1453
600	2184	1450
601	2188	1446
602	2192	1443
603	2195	1439
604	2199	1435
605	2202	1432
606	2206	1428
607	2209	1424
608	2212	1420
609	2216	1417
610	2220	1413
611	2224	1410
612	2227	1406
613	2231	1402
614	2234	1398
615	2237	1395
616	2242	1391
617	2246	1388
618	2249	1384
619	2253	1380
620	2257	1377
621	2260	1373
622	2264	1370
623	2267	1366
624	2271	1363
625	2275	1359
626	2278	1355
627	2282	1351
628	2286	1348
629	2289	1344
630	2292	1340
631	2296	1337
632	2299	1333
633	2303	1329
634	2307	1326
635	2310	1322
636	2314	1318
637	2318	1315
638	2321	1311
639	2324	1307
640	2328	1304
641	2332	1300
642	2336	1297
643	2339	1293
644	2343	1289
645	2346	1285
646	2350	1282
647	2353	1278
648	2357	1274
649	2360	1271
650	2364	1267
651	2368	1264
652	2372	1260
653	2376	1257
654	2380	1253
655	2384	1250
656	2388	1246
657	2391	1243
658	2395	1239
659	2399	1235
660	2402	1232
661	2406	1228
662	2409	1224
663	2413	1221
664	2416	1217
665	2420	1213
666	2423	1210
667	2427	1206
668	2430	1202
669	2433	1198
670	2436	1194
671	2440	1191
672	2443	1187
673	2446	1183
674	2450	1179
675	2453	1176
676	2456	1172
677	2460	1168
678	2463	1164
679	2467	1161
680	2470	1157
681	2473	1153
682	2477	1149
683	2480	1146
684	2484	1142
685	2487	1138
686	2491	1134
687	2494	1131
688	2497	1127
689	2501	1123
690	2504	1120
691	2508	1116
692	2511	1112
693	2514	1108
694	2518	1105
695	2521	1101
696	2525	1097
697	2528	1093
698	2531	1090
699	2534	1086
700	2538	1082
701	2541	1078
702	2544	1075
703	2548	1071
704	2551	1067
705	2555	1064
706	2559	1060
707	2564	1057
708	2568	1054
709	2572	1050
710	2576	1047
711	2580	1043
712	2584	1040
713	2588	1036
714	2593	1033
715	2596	1030
716	2600	1026
717	2604	1023
718	2608	1019
719	2611	1015
720	2614	1011
721	2619	1008
722	2622	1004
723	2625	1001
724	2629	997
725	2633	993
726	2636	990
727	2640	986
728	2643	982
729	2646	979
730	2651	975
731	2655	972
732	2659	968
733	2662	964
734	2667	961
735	2670	957
736	2674	954
737	2677	950
738	2680	946
739	2684	943
740	2687	939
741	2691	935
742	2695	932
743	2698	928
744	2702	924
745	2705	921
746	2708	917
747	2712	913
748	2716	910
749	2719	906
750	2722	902
751	2726	899
752	2729	895
753	2732	891
754	2735	887
755	2739	884
756	2742	880
757	2745	876
758	2749	872
759	2752	869
760	2755	865
761	2760	862
762	2764	858
763	2768	855
764	2773	851
765	2777	848
766	2780	844
767	2783	840
768	2787	837
769	2790	833
770	2794	829
771	2797	826
772	2800	822
773	2804	818
774	2807	815
775	2809	811
776	2813	807
777	2816	803
778	2819	799
779	2822	796
780	2826	792
781	2828	788
782	2831	784
783	2835	781
784	2838	777
785	2841	773
786	2845	770
787	2849	766
788	2852	762
789	2856	759
790	2859	755
791	2863	751
792	2866	748
793	2869	744
794	2873	740
795	2877	737
796	2880	733
797	2883	729
798	2887	726
799	2891	722
800	2894	719
801	2898	715
802	2901	711
803	2906	708
804	2910	704
805	2913	701
806	2916	697
807	2920	694
808	2924	690
809	2927	686
810	2931	683
811	2935	679
812	2939	676
813	2943	672
814	2946	668
815	2950	665
816	2954	661
817	2957	658
818	2960	654
819	2965	650
820	2969	647
821	2973	643
822	2976	640
823	2980	636
824	2983	632
825	2987	629
826	2991	625
827	2996	622
828	3000	618
829	3003	615
830	3006	611
831	3010	607
832	3015	604
833	3020	601
834	3023	597
835	3026	593
836	3031	590
837	3034	586
838	3038	583
839	3041	579
840	3045	575
841	3049	572
842	3052	568
843	3056	564
844	3059	561
845	3063	557
846	3066	553
847	3070	550
848	3073	546
849	3077	543
850	3080	539
851	3084	535
852	3088	532
853	3091	528
854	3094	524
855	3098	521
856	3101	517
857	3104	513
858	3108	510
859	3111	506
860	3115	502
861	3118	499
862	3121	495
863	3125	491
864	3128	488
865	3131	484
866	3134	480
867	3138	477
868	3141	473
869	3144	469
870	3148	466
871	3151	462
872	3155	459
873	3158	455
874	3161	451
875	3165	448
876	3168	444
877	3173	440
878	3176	437
879	3180	433
880	3184	430
881	3188	426
882	3192	423
883	3196	419
884	3199	415
885	3203	412
886	3206	408
887	3210	404
888	3213	401
889	3216	397
890	3220	393
891	3223	390
892	3227	386
893	3230	383
894	3233	379
895	3237	375
896	3240	372
897	3244	368
898	3247	364
899	3250	361
900	3254	357
901	3257	353
902	3260	350
903	3264	346
904	3267	343
905	3271	339
906	3274	335
907	3277	332
908	3281	328
909	3284	324
910	3287	321
911	3291	317
912	3294	313
913	3298	310
914	3301	306
915	3304	303
916	3308	299
917	3311	295
918	3314	292
919	3318	288
920	3321	284
921	3325	281
922	3328	277
923	3331	274
924	3335	270
925	3338	266
926	3342	263
927	3345	259
928	3348	255
929	3352	252
930	3355	248
931	3358	245
932	3362	241
933	3365	237
934	3369	234
935	3373	230
936	3377	227
937	3381	223
938	3385	219
939	3388	216
940	3392	212
941	3396	209
942	3399	205
943	3402	201
944	3406	198
945	3409	194
946	3413	191
947	3416	187
948	3419	183
949	3422	180
950	3426	176
951	3429	172
952	3433	169
953	3436	165
954	3439	162
955	3443	158
956	3446	154
957	3449	151
958	3452	147
959	3457	144
960	3461	140
961	3465	136
962	3469	133
963	3473	129
964	3476	126
965	3479	122
966	3482	118
967	3486	115
968	3489	111
969	3493	108
970	3496	104
971	3499	100
972	3503	97
973	3506	93
974	3509	89
975	3513	86
976	3516	82
977	3520	79
978	3524	75
979	3527	71
980	3531	68
981	3534	64
982	3537	61
983	3540	57
984	3544	53
985	3547	50
986	3550	46
987	3553	43
988	3557	39
989	3560	35
990	3564	32
991	3569	28
992	3573	25
993	3578	21
994	3583	18
995	3588	14
996	3593	10
997	3599	7
998	3605	3
999	3613	0
